iter	MultiClass
0	1.48495577
1	1.385972711
2	1.309679502
3	1.24171135
4	1.190484301
5	1.145115078
6	1.104554864
7	1.074077868
8	1.035202902
9	1.006563791
10	0.9760481781
11	0.9564723703
12	0.9365234325
13	0.9210845743
14	0.905153488
15	0.8906161064
16	0.8760993083
17	0.8602715511
18	0.8482829986
19	0.8398658248
20	0.8301490369
21	0.8212485028
22	0.8117617332
23	0.8023920287
24	0.7899759774
25	0.7810093487
26	0.7744707015
27	0.7690978423
28	0.7646224303
29	0.7560296362
30	0.7505951728
31	0.7450469826
32	0.7406874138
33	0.7358062155
34	0.7305709317
35	0.7239414745
36	0.7185832748
37	0.71152724
38	0.7092864105
39	0.7070889333
40	0.7006525572
41	0.6975743387
42	0.6936574226
43	0.6915918548
44	0.688461627
45	0.6833026584
46	0.6803498061
47	0.6776397899
48	0.6752317972
49	0.6718612168
50	0.6684026849
51	0.6642466148
52	0.6621400675
53	0.6588817545
54	0.6572451096
55	0.6557467786
56	0.652391721
57	0.6491896642
58	0.6467681666
59	0.6435303198
60	0.6408840646
61	0.6384005451
62	0.634694436
63	0.6325762992
64	0.6310961166
65	0.6290596323
66	0.6266669103
67	0.6239731209
68	0.6206973297
69	0.6188135887
70	0.6163110832
71	0.6125247587
72	0.6114206975
73	0.6088103828
74	0.6066889115
75	0.6032115961
76	0.6009860544
77	0.5973344734
78	0.5950928542
79	0.5936435953
80	0.5898853237
81	0.5866283607
82	0.5830355676
83	0.580914053
84	0.5769663159
85	0.5743060956
86	0.5723273415
87	0.5703173344
88	0.5675274276
89	0.5647241585
90	0.5612159388
91	0.5586983429
92	0.556692234
93	0.5530442697
94	0.5504548303
95	0.5485539775
96	0.5449215607
97	0.5431571304
98	0.5406985523
99	0.5377927238
100	0.5352833092
101	0.5322136607
102	0.5303113156
103	0.5274727706
104	0.5262664159
105	0.5240731055
106	0.5217675734
107	0.5191848744
108	0.5169603852
109	0.5132344555
110	0.5109714203
111	0.5095229718
112	0.506827417
113	0.5047616256
114	0.5031079133
115	0.5018189306
116	0.500055158
117	0.498382706
118	0.4967974717
119	0.4941088178
120	0.4929792821
121	0.4919202731
122	0.4900293767
123	0.4891080385
124	0.4874375597
125	0.4858951625
126	0.4848944197
127	0.4816193129
128	0.4802269119
129	0.4771877031
130	0.4760621236
131	0.4742521674
132	0.4725325228
133	0.4705930874
134	0.4689934246
135	0.4674921899
136	0.466083199
137	0.4645860946
138	0.4626543577
139	0.4611734105
140	0.4586048563
141	0.4574946221
142	0.4565954717
143	0.4554659851
144	0.4536589025
145	0.4516984587
146	0.4504179821
147	0.449639224
148	0.4479902421
149	0.4460458527
150	0.4447331005
151	0.4429614089
152	0.4411713018
153	0.4404722321
154	0.4388966924
155	0.4372641872
156	0.4356055165
157	0.4336988805
158	0.4316150529
159	0.4308749855
160	0.4293993814
161	0.4281074258
162	0.4261679314
163	0.4249444968
164	0.4236595899
165	0.4219296267
166	0.4209725167
167	0.4190390612
168	0.417144152
169	0.4154789715
170	0.4142670586
171	0.4128128753
172	0.4121305608
173	0.4110440791
174	0.4097724208
175	0.4085089789
176	0.4070847417
177	0.4059960176
178	0.4045204457
179	0.4034428535
180	0.4020035987
181	0.3998215199
182	0.3984640527
183	0.3967801915
184	0.3955400352
185	0.394016179
186	0.3919246225
187	0.3912439782
188	0.3894233292
189	0.388697404
190	0.3876811195
191	0.3865352534
192	0.3852170507
193	0.3833118815
194	0.3817723438
195	0.3802934799
196	0.3789442519
197	0.3776431986
198	0.3762125021
199	0.3750054653
