iter	Passed	Remaining
0	7	1439
1	16	1655
2	26	1723
3	34	1669
4	44	1721
5	51	1673
6	59	1654
7	67	1615
8	75	1607
9	85	1624
10	94	1616
11	103	1628
12	110	1594
13	118	1576
14	127	1574
15	135	1560
16	143	1548
17	152	1539
18	160	1530
19	167	1507
20	174	1491
21	183	1484
22	190	1465
23	199	1460
24	206	1445
25	215	1440
26	222	1425
27	232	1429
28	241	1423
29	248	1405
30	256	1395
31	263	1381
32	271	1373
33	279	1365
34	287	1356
35	296	1352
36	304	1342
37	312	1332
38	320	1323
39	327	1311
40	336	1303
41	344	1296
42	353	1290
43	362	1284
44	370	1275
45	379	1270
46	387	1260
47	395	1253
48	402	1241
49	410	1230
50	416	1216
51	423	1205
52	432	1199
53	440	1191
54	447	1178
55	454	1168
56	460	1156
57	468	1146
58	476	1139
59	484	1130
60	492	1121
61	498	1110
62	506	1102
63	515	1095
64	522	1085
65	530	1077
66	538	1069
67	547	1062
68	552	1049
69	560	1040
70	569	1034
71	577	1026
72	584	1016
73	591	1007
74	599	998
75	608	992
76	614	982
77	623	975
78	631	967
79	638	958
80	645	948
81	654	941
82	662	933
83	670	925
84	676	915
85	684	906
86	690	896
87	696	886
88	704	878
89	712	870
90	718	861
91	727	854
92	735	845
93	742	837
94	751	830
95	757	820
96	766	813
97	773	804
98	780	796
99	789	789
100	797	781
101	804	772
102	812	765
103	819	756
104	827	748
105	834	740
106	841	731
107	849	723
108	855	714
109	862	705
110	870	697
111	880	691
112	888	684
113	897	676
114	905	669
115	913	661
116	921	653
117	929	646
118	938	638
119	946	631
120	955	623
121	964	616
122	972	608
123	980	600
124	987	592
125	996	585
126	1005	577
127	1013	570
128	1022	562
129	1030	554
130	1038	547
131	1045	538
132	1053	530
133	1059	521
134	1068	514
135	1076	506
136	1085	499
137	1093	491
138	1100	482
139	1107	474
140	1116	467
141	1125	459
142	1133	451
143	1142	444
144	1148	435
145	1156	427
146	1163	419
147	1171	411
148	1177	403
149	1186	395
150	1193	387
151	1201	379
152	1210	371
153	1219	364
154	1227	356
155	1234	348
156	1240	339
157	1249	332
158	1256	324
159	1263	315
160	1271	307
161	1277	299
162	1285	291
163	1293	284
164	1302	276
165	1309	268
166	1316	260
167	1325	252
168	1332	244
169	1339	236
170	1346	228
171	1354	220
172	1361	212
173	1369	204
174	1379	197
175	1387	189
176	1395	181
177	1403	173
178	1412	165
179	1420	157
180	1427	149
181	1436	142
182	1443	134
183	1452	126
184	1459	118
185	1468	110
186	1474	102
187	1483	94
188	1492	86
189	1500	78
190	1506	70
191	1514	63
192	1521	55
193	1529	47
194	1536	39
195	1544	31
196	1551	23
197	1558	15
198	1566	7
199	1574	0
