iter	MultiClass
0	1.308665354
1	1.119577143
2	0.9835244134
3	0.8837108522
4	0.8050088033
5	0.7371020601
6	0.676151394
7	0.6283237849
8	0.5809461676
9	0.5485864679
10	0.5219107111
11	0.4926115402
12	0.4736031721
13	0.4539174966
14	0.4350646509
15	0.4187800268
16	0.4039791637
17	0.3873739778
18	0.3727256111
19	0.3602127138
20	0.3486664945
21	0.3386135534
22	0.3306854518
23	0.3225876581
24	0.3146529296
25	0.3083141052
26	0.3028160952
27	0.296909529
28	0.292520369
29	0.287959224
30	0.2836880241
31	0.2787656859
32	0.2750885943
33	0.2722416123
34	0.2686270419
35	0.2658486017
36	0.2634246468
37	0.2612836293
38	0.2590513037
39	0.2566713682
