iter	Passed	Remaining
0	163	32560
1	320	31775
2	480	31545
3	639	31359
4	804	31362
5	959	31022
6	1113	30694
7	1247	29935
8	1402	29768
9	1556	29576
10	1656	28470
11	1812	28390
12	1895	27262
13	2052	27266
14	2208	27240
15	2365	27208
16	2521	27142
17	2673	27028
18	2823	26897
19	2979	26814
20	3138	26751
21	3298	26683
22	3451	26564
23	3609	26471
24	3768	26378
25	3933	26325
26	4104	26302
27	4269	26226
28	4425	26093
29	4585	25985
30	4746	25875
31	4899	25720
32	5055	25584
33	5209	25434
34	5369	25312
35	5520	25151
36	5684	25043
37	5838	24889
38	6004	24787
39	6162	24651
